Altium Designer Pick and Place Locations
C:\Google Drive\Altium Projects\FPGA Interface Board V2\Project Outputs for FPGA Interface Board\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       07/03/21
Time:       02:31
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description","Manufacture Part Number"
"RF3","KH-SMA-K513-G","BottomLayer","ANT-TH_KH-SMA-K513-G","907.000","212.000","90","","KH-SMA-K513-G"
"U25","74HC595D,118","TopLayer","SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL","749.000","1219.000","90","","74HC595D,118"
"U19","74HC595D,118","TopLayer","SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL","808.000","1667.000","180","","74HC595D,118"
"C34","100nF","BottomLayer","C0603","733.999","1001.000","180","","CC0603KRX7R9BB104"
"C33","100nF","BottomLayer","C0603","932.001","1557.000","360","","CC0603KRX7R9BB104"
"T4","AO3401A","TopLayer","SOT-23-3","1548.000","1133.000","90","",""
"T12","AO3401A","TopLayer","SOT-23-3","1548.598","1399.339","90","",""
"T16","SI2302","TopLayer","SOT-23-3","1421.000","1399.000","90","MOSFET N TRENCH 20V 2.1A 1.2V @ 50UA 72 M? @ 3.6A,4.5V SOT-23(SOT-23-3) ROHS",""
"T8","SI2302","TopLayer","SOT-23-3","1418.000","1133.000","90","MOSFET N TRENCH 20V 2.1A 1.2V @ 50UA 72 M? @ 3.6A,4.5V SOT-23(SOT-23-3) ROHS",""
"R59","4.7K","TopLayer","R0603","1548.998","1291.000","180","","RC0603FR-071KL"
"R71","4.7K","TopLayer","R0603","1418.998","1290.000","180","","RC0603FR-071KL"
"R67","470","TopLayer","R0603","1166.000","1381.998","270","","RC0603FR-071KL"
"R55","4.7K","TopLayer","R0603","1417.596","1023.661","180","","RC0603FR-071KL"
"R63","220","TopLayer","R0603","1291.002","1289.000","0","","RC0603FR-071KL"
"R51","470","TopLayer","R0603","1169.598","1111.659","270","","RC0603FR-071KL"
"R43","220","TopLayer","R0603","1288.156","1024.661","0","","RC0603FR-071KL"
"R29","4.7K","TopLayer","R0603","1548.596","1024.661","180","","RC0603FR-071KL"
"Q8","MMBT3904LT1G","TopLayer","SOT-23-3","1293.000","1399.000","90","MMBT Series 40 V 200 mA SMT NPN Silicon General Purpose Transistor - SOT-23","MMBT3904LT1G"
"Q4","MMBT3904LT1G","TopLayer","SOT-23-3","1290.598","1132.661","90","MMBT Series 40 V 200 mA SMT NPN Silicon General Purpose Transistor - SOT-23","MMBT3904LT1G"
"Q1","MMBT3904LT1G","TopLayer","SOT-23-3","1310.401","2974.000","90","MMBT Series 40 V 200 mA SMT NPN Silicon General Purpose Transistor - SOT-23","MMBT3904LT1G"
"Q5","MMBT3904LT1G","TopLayer","SOT-23-3","1302.000","2456.000","90","MMBT Series 40 V 200 mA SMT NPN Silicon General Purpose Transistor - SOT-23","MMBT3904LT1G"
"R23","4.7K","TopLayer","R0603","1564.400","2869.339","180","","RC0603FR-071KL"
"R30","220","TopLayer","R0603","1304.404","2868.339","360","","RC0603FR-071KL"
"R44","470","TopLayer","R0603","1184.402","2954.337","270","","RC0603FR-071KL"
"R52","4.7K","TopLayer","R0603","1435.400","2868.339","180","","RC0603FR-071KL"
"R56","4.7K","TopLayer","R0603","1558.998","2349.000","180","","RC0603FR-071KL"
"R60","220","TopLayer","R0603","1299.002","2348.000","360","","RC0603FR-071KL"
"R64","470","TopLayer","R0603","1179.000","2430.998","270","","RC0603FR-071KL"
"R68","4.7K","TopLayer","R0603","1431.998","2348.000","180","","RC0603FR-071KL"
"T1","AO3401A","TopLayer","SOT-23-3","1566.401","2974.339","90","",""
"T5","SI2302","TopLayer","SOT-23-3","1438.401","2974.339","90","MOSFET N TRENCH 20V 2.1A 1.2V @ 50UA 72 M? @ 3.6A,4.5V SOT-23(SOT-23-3) ROHS",""
"T9","AO3401A","TopLayer","SOT-23-3","1559.000","2455.000","90","",""
"T13","SI2302","TopLayer","SOT-23-3","1431.000","2456.000","90","MOSFET N TRENCH 20V 2.1A 1.2V @ 50UA 72 M? @ 3.6A,4.5V SOT-23(SOT-23-3) ROHS",""
"T15","SI2302","TopLayer","SOT-23-3","1426.000","1923.000","90","MOSFET N TRENCH 20V 2.1A 1.2V @ 50UA 72 M? @ 3.6A,4.5V SOT-23(SOT-23-3) ROHS",""
"T11","AO3401A","TopLayer","SOT-23-3","1554.000","1923.000","90","",""
"R70","4.7K","TopLayer","R0603","1421.998","1818.000","180","","RC0603FR-071KL"
"R66","470","TopLayer","R0603","1174.000","1906.998","270","","RC0603FR-071KL"
"R62","220","TopLayer","R0603","1295.002","1818.000","360","","RC0603FR-071KL"
"R58","4.7K","TopLayer","R0603","1554.998","1818.000","180","","RC0603FR-071KL"
"Q7","MMBT3904LT1G","TopLayer","SOT-23-3","1299.000","1923.000","90","MMBT Series 40 V 200 mA SMT NPN Silicon General Purpose Transistor - SOT-23","MMBT3904LT1G"
"T14","SI2302","TopLayer","SOT-23-3","1427.000","1663.000","90","MOSFET N TRENCH 20V 2.1A 1.2V @ 50UA 72 M? @ 3.6A,4.5V SOT-23(SOT-23-3) ROHS",""
"T10","AO3401A","TopLayer","SOT-23-3","1555.000","1663.000","90","",""
"R69","4.7K","TopLayer","R0603","1425.998","1555.000","180","","RC0603FR-071KL"
"R65","470","TopLayer","R0603","1177.000","1640.998","270","","RC0603FR-071KL"
"R61","220","TopLayer","R0603","1294.002","1554.000","360","","RC0603FR-071KL"
"R57","4.7K","TopLayer","R0603","1554.998","1555.000","180","","RC0603FR-071KL"
"Q6","MMBT3904LT1G","TopLayer","SOT-23-3","1296.000","1662.000","90","MMBT Series 40 V 200 mA SMT NPN Silicon General Purpose Transistor - SOT-23","MMBT3904LT1G"
"T7","SI2302","TopLayer","SOT-23-3","1430.000","2188.661","90","MOSFET N TRENCH 20V 2.1A 1.2V @ 50UA 72 M? @ 3.6A,4.5V SOT-23(SOT-23-3) ROHS",""
"T3","AO3401A","TopLayer","SOT-23-3","1557.000","2188.661","90","",""
"R54","4.7K","TopLayer","R0603","1425.998","2079.661","180","","RC0603FR-071KL"
"R50","470","TopLayer","R0603","1185.000","2161.659","270","","RC0603FR-071KL"
"R40","220","TopLayer","R0603","1299.002","2079.661","360","","RC0603FR-071KL"
"R28","4.7K","TopLayer","R0603","1554.998","2079.661","180","","RC0603FR-071KL"
"Q3","MMBT3904LT1G","TopLayer","SOT-23-3","1300.000","2188.661","90","MMBT Series 40 V 200 mA SMT NPN Silicon General Purpose Transistor - SOT-23","MMBT3904LT1G"
"T6","SI2302","TopLayer","SOT-23-3","1429.000","2720.000","90","MOSFET N TRENCH 20V 2.1A 1.2V @ 50UA 72 M? @ 3.6A,4.5V SOT-23(SOT-23-3) ROHS",""
"T2","AO3401A","TopLayer","SOT-23-3","1560.000","2720.000","90","",""
"R49","470","TopLayer","R0603","1183.000","2691.998","270","","RC0603FR-071KL"
"R39","220","TopLayer","R0603","1297.002","2613.000","0","","RC0603FR-071KL"
"R53","4.7K","TopLayer","R0603","1431.998","2613.000","180","","RC0603FR-071KL"
"R24","4.7K","TopLayer","R0603","1559.998","2613.000","180","","RC0603FR-071KL"
"Q2","MMBT3904LT1G","TopLayer","SOT-23-3","1298.000","2720.000","90","MMBT Series 40 V 200 mA SMT NPN Silicon General Purpose Transistor - SOT-23","MMBT3904LT1G"
"IMPORTED_IMAGE2","Comment","BottomOverlay","IMPORTED_IMAGE","-1805.000","-1027.730","180","",""
"IMPORTED_IMAGE2","Comment","TopOverlay","IMPORTED_IMAGE","-1805.000","-1027.730","0","",""
"IMPORTED_IMAGE1","Comment","TopOverlay","IMPORTED_IMAGE","-1805.000","-1027.730","90","",""
"IMPORTED_IMAGE","Comment","BottomOverlay","IMPORTED_IMAGE","-1805.000","-1027.730","270","MMBT Series 40 V 200 mA SMT NPN Silicon General Purpose Transistor - SOT-23",""
"JP2","Jumper Pad","BottomLayer","PCB-sjva3kmaxrqfkswkvsp7-1","1611.999","694.002","270","JP",""
"C46","4.7uF","TopLayer","CAPC1608X09N","1295.000","686.000","90","0603 10 nF 50 V ± 10% Tolerance X7R Surface Mount Multilayer Ceramic Capacitor","CL10A475KP8NNNC"
"C45","4.7uF","TopLayer","CAPC1608X09N","1066.000","514.000","90","0603 10 nF 50 V ± 10% Tolerance X7R Surface Mount Multilayer Ceramic Capacitor","CL10A475KP8NNNC"
"U20","L78M06CDT-TR","BottomLayer","VREG_L78M06CDT-TR","822.905","649.000","180","Linear Voltage Regulator IC 1 Output 500mA DPAK","L78M06CDT-TR"
"U1","MCP1826T-ADJE/DC","BottomLayer","MCP1826T-ADJE/DC","1287.931","650.280","90","Adjustable 6V 0.8V ~ 5V 400mV @ 1A SOT-223-6 Dropout Regulators(LDO) RoHS","MCP1826T-ADJE/DC"
"R22","10K","TopLayer","R0603","1044.002","641.000","360","","RC0603FR-0710KL"
"R12","1K","TopLayer","R0603","1045.998","710.000","180","","RC0603FR-071KL"
"R11","49.9K","TopLayer","R0603","831.558","650.000","180","","0603WAF4992T5E"
"R10","100K","TopLayer","R0603","1046.002","778.000","360","","0603WAF1003T5E"
"R6","10K","TopLayer","R0603","1137.000","515.998","270","","RC0603FR-0710KL"
"C42","470nF","TopLayer","C0603","832.001","739.000","360","","0603B474K100"
"C41","100nF","TopLayer","C0603","829.001","557.000","0","","CC0603KRX7R9BB104"
"CN5","pitch4.2MMsocket2*2P","BottomLayer","CONN-TH_HAA420A-4A","1878.000","232.000","0","","pitch4.2MMsocket2*2P"
"RLY8","G5NB-1A-E-DC12","BottomLayer","RELAY-TH_G5NB-1A-E-DCXX","2630.000","2407.233","270","","G5NB-1A-E-DC12"
"CN1","B8B-XH-A (LF)(SN)","BottomLayer","CONN-TH_B8B-XH-A_(LF)(SN)","2520.000","3820.000","0","","B8B-XH-A (LF)(SN)"
"CN3","B8B-XH-A (LF)(SN)","BottomLayer","CONN-TH_B8B-XH-A_(LF)(SN)","705.000","3820.000","0","","B8B-XH-A (LF)(SN)"
"CN2","B8B-XH-A (LF)(SN)","BottomLayer","CONN-TH_B8B-XH-A_(LF)(SN)","1612.500","3820.000","0","","B8B-XH-A (LF)(SN)"
"CN4","B6B-XH-A(LF)(SN)","BottomLayer","CONN-TH_6P-P2.50_B6B-XH-A(LF)(SN)","798.000","3536.000","360","","B6B-XH-A(LF)(SN)"
"U24","74HC595D,118","BottomLayer","SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL","720.000","1825.000","270","","74HC595D,118"
"U23","ULN2803A_C107219","BottomLayer","SOP-18_L11.4-W7.6-P1.27-LS10.6-BL","1170.000","1855.000","90","","ULN2803A"
"U22","74HC595D,118","BottomLayer","SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL","720.000","2455.000","270","","74HC595D,118"
"U21","ULN2803A_C107219","BottomLayer","SOP-18_L11.4-W7.6-P1.27-LS10.6-BL","1170.000","2485.000","90","","ULN2803A"
"U18","74LVCH2T45DC-Q100H","TopLayer","VSSOP-8_L2.4-W2.1-P0.50-LS3.2-BR","2190.000","1210.000","180","","74LVCH2T45DC-Q100H"
"U17","74LVCH2T45DC-Q100H","TopLayer","VSSOP-8_L2.4-W2.1-P0.50-LS3.2-BR","2187.442","2250.000","180","","74LVCH2T45DC-Q100H"
"U16","74LVCH2T45DC-Q100H","TopLayer","VSSOP-8_L2.4-W2.1-P0.50-LS3.2-BR","2190.000","1370.000","180","","74LVCH2T45DC-Q100H"
"U15","74LVCH2T45DC-Q100H","TopLayer","VSSOP-8_L2.4-W2.1-P0.50-LS3.2-BR","2187.442","2410.000","180","","74LVCH2T45DC-Q100H"
"U14","74LVCH2T45DC-Q100H","TopLayer","VSSOP-8_L2.4-W2.1-P0.50-LS3.2-BR","2190.000","1555.000","180","","74LVCH2T45DC-Q100H"
"U13","74LVCH2T45DC-Q100H","TopLayer","VSSOP-8_L2.4-W2.1-P0.50-LS3.2-BR","2185.000","2595.000","180","","74LVCH2T45DC-Q100H"
"U12","74LVCH2T45DC-Q100H","TopLayer","VSSOP-8_L2.4-W2.1-P0.50-LS3.2-BR","2190.000","530.000","180","","74LVCH2T45DC-Q100H"
"U11","74LVCH2T45DC-Q100H","TopLayer","VSSOP-8_L2.4-W2.1-P0.50-LS3.2-BR","2190.000","1715.000","180","","74LVCH2T45DC-Q100H"
"U10","74LVCH2T45DC-Q100H","TopLayer","VSSOP-8_L2.4-W2.1-P0.50-LS3.2-BR","2185.000","2755.000","180","","74LVCH2T45DC-Q100H"
"U9","74LVCH2T45DC-Q100H","TopLayer","VSSOP-8_L2.4-W2.1-P0.50-LS3.2-BR","2190.000","690.000","180","","74LVCH2T45DC-Q100H"
"U8","74LVCH2T45DC-Q100H","TopLayer","VSSOP-8_L2.4-W2.1-P0.50-LS3.2-BR","2189.886","1905.000","180","","74LVCH2T45DC-Q100H"
"U7","74LVCH2T45DC-Q100H","TopLayer","VSSOP-8_L2.4-W2.1-P0.50-LS3.2-BR","2179.886","2940.000","180","","74LVCH2T45DC-Q100H"
"U6","74LVCH2T45DC-Q100H","TopLayer","VSSOP-8_L2.4-W2.1-P0.50-LS3.2-BR","2190.000","870.000","180","","74LVCH2T45DC-Q100H"
"U5","74LVCH2T45DC-Q100H","TopLayer","VSSOP-8_L2.4-W2.1-P0.50-LS3.2-BR","2189.886","2065.000","180","","74LVCH2T45DC-Q100H"
"U4","74LVCH2T45DC-Q100H","TopLayer","VSSOP-8_L2.4-W2.1-P0.50-LS3.2-BR","2179.886","3100.000","180","","74LVCH2T45DC-Q100H"
"U3","74LVCH2T45DC-Q100H","TopLayer","VSSOP-8_L2.4-W2.1-P0.50-LS3.2-BR","2190.000","1030.000","180","","74LVCH2T45DC-Q100H"
"U2","DE0 NANO UPSIDE-DOWN PIN HEADERS COPY","BottomLayer","DE0-NANO_UPSIDE_DOWN","1015.000","1860.000","0","",""
"RLY12","G5NB-1A-E-DC12","BottomLayer","RELAY-TH_G5NB-1A-E-DCXX","2630.000","1573.617","270","","G5NB-1A-E-DC12"
"RLY6","G5NB-1A-E-DC12","BottomLayer","RELAY-TH_G5NB-1A-E-DCXX","3216.667","2407.233","270","","G5NB-1A-E-DC12"
"RLY11","G5NB-1A-E-DC12","BottomLayer","RELAY-TH_G5NB-1A-E-DCXX","2923.333","1573.617","270","","G5NB-1A-E-DC12"
"RLY5","G5NB-1A-E-DC12","BottomLayer","RELAY-TH_G5NB-1A-E-DCXX","3510.000","2407.233","270","","G5NB-1A-E-DC12"
"RLY10","G5NB-1A-E-DC12","BottomLayer","RELAY-TH_G5NB-1A-E-DCXX","3216.667","1573.617","270","","G5NB-1A-E-DC12"
"RLY4","G5NB-1A-E-DC12","BottomLayer","RELAY-TH_G5NB-1A-E-DCXX","2630.000","3245.000","270","","G5NB-1A-E-DC12"
"RLY16","G5NB-1A-E-DC12","BottomLayer","RELAY-TH_G5NB-1A-E-DCXX","2630.000","740.000","270","","G5NB-1A-E-DC12"
"RLY9","G5NB-1A-E-DC12","BottomLayer","RELAY-TH_G5NB-1A-E-DCXX","3510.000","1573.617","270","","G5NB-1A-E-DC12"
"RLY3","G5NB-1A-E-DC12","BottomLayer","RELAY-TH_G5NB-1A-E-DCXX","2923.333","3245.000","270","","G5NB-1A-E-DC12"
"RLY15","G5NB-1A-E-DC12","BottomLayer","RELAY-TH_G5NB-1A-E-DCXX","2923.333","740.000","270","","G5NB-1A-E-DC12"
"RLY2","G5NB-1A-E-DC12","BottomLayer","RELAY-TH_G5NB-1A-E-DCXX","3216.667","3245.000","270","","G5NB-1A-E-DC12"
"RLY14","G5NB-1A-E-DC12","BottomLayer","RELAY-TH_G5NB-1A-E-DCXX","3216.667","740.000","270","","G5NB-1A-E-DC12"
"RLY7","G5NB-1A-E-DC12","BottomLayer","RELAY-TH_G5NB-1A-E-DCXX","2923.333","2407.233","270","","G5NB-1A-E-DC12"
"RLY1","G5NB-1A-E-DC12","BottomLayer","RELAY-TH_G5NB-1A-E-DCXX","3510.000","3245.000","270","","G5NB-1A-E-DC12"
"RLY13","G5NB-1A-E-DC12","BottomLayer","RELAY-TH_G5NB-1A-E-DCXX","3510.000","740.000","270","","G5NB-1A-E-DC12"
"RF2","KH-SMA-K513-G","BottomLayer","ANT-TH_KH-SMA-K513-G","1379.000","202.000","90","","KH-SMA-K513-G"
"RF1","KH-SMA-K513-G","BottomLayer","ANT-TH_KH-SMA-K513-G","435.000","212.000","90","","KH-SMA-K513-G"
"R48","1K","TopLayer","R0603","2395.000","1225.002","90","","RC0603FR-071KL"
"R47","1K","TopLayer","R0603","2335.000","1225.002","90","","RC0603FR-071KL"
"R46","1K","TopLayer","R0603","2392.442","2265.002","90","","RC0603FR-071KL"
"R45","1K","TopLayer","R0603","2332.442","2265.002","90","","RC0603FR-071KL"
"R42","51","TopLayer","R0603","2362.558","1355.000","360","","0603WAF510JT5E"
"R41","51","TopLayer","R0603","2360.000","2395.000","360","","0603WAF510JT5E"
